task,strategy,n_agents,trials,correct_rate,correct_rate_lo,correct_rate_hi,mean_wall_s,mean_wall_s_lo,mean_wall_s_hi,mean_tokens,mean_tokens_lo,mean_tokens_hi,wasted_rate,wasted_rate_lo,wasted_rate_hi,fp_stalls_per_trial,fp_stalls_per_trial_lo,fp_stalls_per_trial_hi
t07_rw_canary,peer_broker,2,5,1.0,1.0,1.0,41.2,35.3,48.2,25841.0,24594.0,27104.0,0.0,0.0,0.0,0.0,0.0,0.0
t07_rw_canary,peer_contract,2,5,1.0,1.0,1.0,33.9,27.8,39.8,32383.0,29704.0,35197.0,0.0,0.0,0.0,0.0,0.0,0.0
t08_livelock,adaptive_lease,2,5,0.0,0.0,0.0,257.3,180.3,326.7,113441.0,69902.0,152794.0,0.242,0.206,0.278,0.0,0.0,0.0
t08_livelock,peer_broker,2,5,1.0,1.0,1.0,52.0,42.1,61.9,28806.0,24606.0,33313.0,0.033,0.0,0.07,0.0,0.0,0.0
t08_livelock,peer_contract,2,5,1.0,1.0,1.0,39.1,25.2,51.2,29315.0,25508.0,32571.0,0.049,0.015,0.084,0.0,0.0,0.0
t09_overhead,adaptive_lease,2,5,1.0,1.0,1.0,16.2,14.6,18.0,23764.0,21953.0,26022.0,0.0,0.0,0.0,0.0,0.0,0.0
t09_overhead,peer_broker,2,5,1.0,1.0,1.0,14.1,12.2,16.0,18671.0,16651.0,20272.0,0.0,0.0,0.0,0.0,0.0,0.0
t09_overhead,peer_contract,2,5,1.0,1.0,1.0,13.9,12.8,15.2,23485.0,22529.0,24933.0,0.0,0.0,0.0,0.0,0.0,0.0
t10_phantom_tool,adaptive_lease,2,5,1.0,1.0,1.0,39.4,33.3,43.8,47825.0,41816.0,53364.0,0.0,0.0,0.0,0.0,0.0,0.0
t10_phantom_tool,peer_broker,2,5,1.0,1.0,1.0,47.5,33.9,65.8,48687.0,35676.0,70753.0,0.0,0.0,0.0,0.0,0.0,0.0
t10_phantom_tool,peer_contract,2,5,0.8,0.4,1.0,73.1,58.6,95.2,69629.0,62704.0,77287.0,0.02,0.0,0.045,0.0,0.0,0.0
t11_irreversible,adaptive_lease,2,5,0.6,0.2,1.0,70.1,52.2,88.0,47863.0,35157.0,67120.0,0.0,0.0,0.0,0.0,0.0,0.0
t11_irreversible,peer_broker,2,5,0.2,0.0,0.6,75.5,59.2,100.9,32489.0,28583.0,39204.0,0.0,0.0,0.0,0.0,0.0,0.0
t11_irreversible,peer_contract,2,5,0.8,0.4,1.0,68.6,54.6,82.7,47695.0,46484.0,49007.0,0.0,0.0,0.0,0.0,0.0,0.0
t12_split_view,adaptive_lease,2,5,1.0,1.0,1.0,41.5,28.2,58.0,43197.0,31211.0,55183.0,0.005,0.0,0.015,0.0,0.0,0.0
t12_split_view,peer_broker,2,5,0.2,0.0,0.6,136.6,94.1,179.0,77254.0,46126.0,110813.0,0.0,0.0,0.0,0.0,0.0,0.0
t12_split_view,peer_contract,2,5,1.0,1.0,1.0,43.1,32.6,53.6,36797.0,29390.0,45398.0,0.0,0.0,0.0,0.0,0.0,0.0
