task,strategy,n_agents,baseline_run_id,baseline_provider,baseline_model,compare_run_id,compare_provider,compare_model,baseline_trials,compare_trials,baseline_cells,compare_cells,compare_correct_rate,compare_mean_wall_s,compare_mean_tokens,compare_mean_prompt_tokens,compare_mean_completion_tokens,compare_wasted_rate,compare_stalls_per_trial,compare_fp_stalls_per_trial,baseline_correct_rate,baseline_mean_wall_s,baseline_mean_tokens,baseline_mean_prompt_tokens,baseline_mean_completion_tokens,baseline_wasted_rate,baseline_stalls_per_trial,baseline_fp_stalls_per_trial,delta_correct_rate,delta_mean_wall_s,delta_mean_tokens,delta_mean_prompt_tokens,delta_mean_completion_tokens,delta_wasted_rate,delta_stalls_per_trial,delta_fp_stalls_per_trial
t02_benign_overlap,git_hash,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,88.0,47153.0,45608.0,1545.0,0.098,2.0,2.0,1.0,16.5,13340.0,11606.0,1734.0,0.0,0.0,0.0,0.0,-71.5,-33813.0,-34002.0,189.0,-0.098,-2.0,-2.0
t02_benign_overlap,naive,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,68.3,15827.0,15134.0,693.0,0.0,0.0,0.0,1.0,21.7,17353.0,15256.0,2096.0,0.055,0.0,0.0,0.0,-46.6,1526.0,122.0,1403.0,0.055,-0.0,-0.0
t02_benign_overlap,notify,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,52.8,16615.0,15821.0,795.0,0.0,0.0,0.0,1.0,21.0,18280.0,16025.0,2255.0,0.02,0.0,0.0,0.0,-31.8,1665.0,204.0,1460.0,0.02,-0.0,-0.0
t03_fetch_clobber,ast_dep,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,0.333,89.6,15957.0,15097.0,860.0,0.0,1.0,0.0,0.0,18.2,11515.0,9937.0,1578.0,0.0,0.8,0.0,0.333,-71.4,-4442.0,-5160.0,718.0,-0.0,-0.2,-0.0
t03_fetch_clobber,ast_scope,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,0.333,64.0,17390.0,16412.0,977.0,0.028,1.333,0.0,0.0,19.0,11874.0,10241.0,1633.0,0.0,0.2,0.0,0.333,-45.0,-5516.0,-6171.0,656.0,-0.028,-1.133,-0.0
t03_fetch_clobber,file_lock,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,60.0,15614.0,14707.0,907.0,0.0,1.0,0.0,1.0,28.6,12462.0,10741.0,1721.0,0.0,1.0,0.0,0.0,-31.4,-3152.0,-3966.0,814.0,-0.0,-0.0,-0.0
t03_fetch_clobber,git_hash,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,98.0,23394.0,22106.0,1288.0,0.108,1.333,0.0,1.0,44.4,23217.0,19445.0,3771.0,0.175,2.0,0.0,0.0,-53.6,-177.0,-2661.0,2483.0,0.067,0.667,-0.0
t03_fetch_clobber,naive,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,0.667,64.8,15509.0,14641.0,868.0,0.0,0.0,0.0,0.0,18.7,12126.0,10381.0,1745.0,0.0,0.0,0.0,0.667,-46.1,-3383.0,-4260.0,877.0,-0.0,-0.0,-0.0
t03_fetch_clobber,notify,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,0.333,107.7,23984.0,22698.0,1286.0,0.0,0.0,0.0,0.0,31.5,18864.0,16626.0,2237.0,0.0,0.0,0.0,0.333,-76.2,-5120.0,-6072.0,951.0,-0.0,-0.0,-0.0
t04_cascade,ast_dep,4,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,0.0,333.0,100417.0,96225.0,4192.0,0.055,2.0,0.0,0.6,109.5,156450.0,146961.0,9489.0,0.066,4.2,0.0,-0.6,-223.5,56033.0,50736.0,5297.0,0.011,2.2,-0.0
t04_cascade,ast_scope,4,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,0.667,289.3,115967.0,111414.0,4552.0,0.008,0.333,0.0,0.6,68.6,207996.0,197215.0,10780.0,0.045,1.6,0.0,0.067,-220.7,92029.0,85801.0,6228.0,0.037,1.267,-0.0
t04_cascade,file_lock,4,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,0.667,768.4,216654.0,211245.0,5408.0,0.032,63.667,0.0,0.6,561.7,190090.0,184330.0,5760.0,0.0,85.0,0.0,0.067,-206.7,-26564.0,-26915.0,352.0,-0.032,21.333,-0.0
t04_cascade,git_hash,4,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,387.7,130643.0,125551.0,5092.0,0.0,0.0,0.0,0.6,80.1,208294.0,193919.0,14375.0,0.023,1.6,0.0,0.4,-307.6,77651.0,68368.0,9283.0,0.023,1.6,-0.0
t04_cascade,naive,4,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,0.667,338.2,107190.0,102758.0,4432.0,0.0,0.0,0.0,0.8,66.9,158724.0,148645.0,10079.0,0.016,0.0,0.0,-0.133,-271.3,51534.0,45887.0,5647.0,0.016,-0.0,-0.0
t04_cascade,notify,4,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,332.8,124702.0,120845.0,3857.0,0.0,0.0,0.0,0.6,64.9,155749.0,145212.0,10537.0,0.019,0.0,0.0,0.4,-267.9,31047.0,24367.0,6680.0,0.019,-0.0,-0.0
t07_rw_canary,ast_dep,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,176.1,26210.0,24939.0,1271.0,0.056,0.0,0.0,1.0,69.1,30077.0,25611.0,4466.0,0.0,0.0,0.0,0.0,-107.0,3867.0,672.0,3195.0,-0.056,-0.0,-0.0
t07_rw_canary,ast_scope,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,0.667,108.5,29428.0,28168.0,1260.0,0.041,0.0,0.0,1.0,137.6,48693.0,39654.0,9039.0,0.0,0.0,0.0,-0.333,29.1,19265.0,11486.0,7779.0,-0.041,-0.0,-0.0
t07_rw_canary,file_lock,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,160.8,26983.0,25857.0,1126.0,0.041,2.333,0.0,1.0,162.5,51208.0,45729.0,5479.0,0.0,13.4,0.0,0.0,1.7,24225.0,19872.0,4353.0,-0.041,11.067,-0.0
t07_rw_canary,git_hash,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,154.3,22329.0,21095.0,1234.0,0.0,0.0,0.0,1.0,80.1,46634.0,40695.0,5940.0,0.0,0.0,0.0,0.0,-74.2,24305.0,19600.0,4706.0,-0.0,-0.0,-0.0
t07_rw_canary,naive,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,108.9,23704.0,22623.0,1081.0,0.041,0.0,0.0,0.8,69.8,32643.0,26529.0,6115.0,0.0,0.0,0.0,0.2,-39.1,8939.0,3906.0,5034.0,-0.041,-0.0,-0.0
t07_rw_canary,notify,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,123.3,21151.0,20070.0,1081.0,0.0,0.0,0.0,1.0,118.1,44807.0,37584.0,7223.0,0.0,0.0,0.0,0.0,-5.2,23656.0,17514.0,6142.0,-0.0,-0.0,-0.0
t11_irreversible,ast_dep,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,0.333,250.9,66543.0,64419.0,2125.0,0.0,0.0,0.0,0.4,54.5,29158.0,23470.0,5688.0,0.0,0.0,0.0,-0.067,-196.4,-37385.0,-40949.0,3563.0,-0.0,-0.0,-0.0
t11_irreversible,ast_scope,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,190.8,47426.0,45686.0,1740.0,0.02,0.0,0.0,0.4,47.8,29884.0,24998.0,4886.0,0.0,0.0,0.0,0.6,-143.0,-17542.0,-20688.0,3146.0,-0.02,-0.0,-0.0
t11_irreversible,file_lock,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,0.667,261.6,55824.0,54316.0,1507.0,0.021,4.0,0.0,1.0,59.2,35900.0,31532.0,4369.0,0.0,1.0,0.0,-0.333,-202.4,-19924.0,-22784.0,2862.0,-0.021,-3.0,-0.0
t11_irreversible,git_hash,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,0.667,254.8,47462.0,45824.0,1638.0,0.0,0.0,0.0,0.6,77.4,38968.0,30637.0,8331.0,0.0,0.0,0.0,0.067,-177.4,-8494.0,-15187.0,6693.0,-0.0,-0.0,-0.0
t11_irreversible,naive,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,152.7,39082.0,37634.0,1448.0,0.019,0.0,0.0,0.6,53.7,30159.0,24231.0,5928.0,0.0,0.0,0.0,0.4,-99.0,-8923.0,-13403.0,4480.0,-0.019,-0.0,-0.0
t11_irreversible,notify,2,grid-v1,openai,gpt-5-mini,grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,5,3,1,1,1.0,195.2,37149.0,35988.0,1161.0,0.0,0.0,0.0,0.8,47.2,31606.0,26491.0,5115.0,0.0,0.0,0.0,0.2,-148.0,-5543.0,-9497.0,3954.0,-0.0,-0.0,-0.0
