solo_run_id,parallel_run_id,direction,task,solo_n_tasks,solo_n_strategies,solo_cells,solo_trials,solo_correct_rate,solo_mean_wall_s,solo_mean_tokens,solo_mean_prompt_tokens,solo_mean_completion_tokens,solo_wasted_rate,solo_stalls_per_trial,solo_fp_stalls_per_trial,solo_mean_agent_turns,solo_mean_llm_calls,solo_mean_tool_calls,solo_mean_file_reads,solo_mean_write_attempts,solo_mean_search_events,solo_mean_coord_events,solo_mean_tokens_per_agent_turn,strategy,n_agents,parallel_n_tasks,parallel_n_strategies,parallel_cells,parallel_trials,parallel_correct_rate,parallel_mean_wall_s,parallel_mean_tokens,parallel_mean_prompt_tokens,parallel_mean_completion_tokens,parallel_wasted_rate,parallel_stalls_per_trial,parallel_fp_stalls_per_trial,parallel_mean_agent_turns,parallel_mean_llm_calls,parallel_mean_tool_calls,parallel_mean_file_reads,parallel_mean_write_attempts,parallel_mean_search_events,parallel_mean_coord_events,parallel_mean_tokens_per_agent_turn,delta_correct_rate,delta_mean_wall_s,delta_mean_tokens,delta_mean_prompt_tokens,delta_mean_completion_tokens,delta_wasted_rate,delta_stalls_per_trial,delta_fp_stalls_per_trial,delta_mean_agent_turns,delta_mean_llm_calls,delta_mean_tool_calls,delta_mean_file_reads,delta_mean_write_attempts,delta_mean_search_events,delta_mean_coord_events,delta_mean_tokens_per_agent_turn
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,rw_c_benign_overlap,1,1,1,4,1.0,26.3,38263.0,36506.0,1757.0,0.0,0.0,0.0,13.0,13.0,13.0,7.0,3.0,0.0,0.0,2927.0,naive,2,1,1,1,5,1.0,27.6,45513.0,43826.0,1687.0,0.0,0.0,0.0,18.8,18.8,18.8,9.2,3.0,1.6,0.0,2417.0,0.0,-1.3,-7250.0,-7320.0,70.0,-0.0,-0.0,-0.0,-5.8,-5.8,-5.8,-2.2,-0.0,-1.6,-0.0,510.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,rw_c_benign_overlap,1,1,1,4,1.0,26.3,38263.0,36506.0,1757.0,0.0,0.0,0.0,13.0,13.0,13.0,7.0,3.0,0.0,0.0,2927.0,notify,2,1,1,1,5,1.0,36.2,50725.0,48996.0,1729.0,0.0,0.0,0.0,20.2,20.2,20.2,11.2,3.0,0.8,1.6,2488.0,0.0,-9.9,-12462.0,-12490.0,28.0,-0.0,-0.0,-0.0,-7.2,-7.2,-7.2,-4.2,-0.0,-0.8,-1.6,439.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,rw_e_cascade,1,1,1,5,0.8,130.3,196874.0,189705.0,7169.0,0.0,0.0,0.0,32.4,32.4,32.4,13.0,10.4,5.2,0.0,6032.0,ast_dep,3,1,1,1,5,0.0,171.5,446977.0,428424.0,18553.0,0.02,0.4,0.0,85.8,85.8,85.4,44.2,16.4,12.2,16.4,5178.0,-0.8,-41.2,-250103.0,-238719.0,-11384.0,-0.02,-0.4,-0.0,-53.4,-53.4,-53.0,-31.2,-6.0,-7.0,-16.4,854.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,rw_e_cascade,1,1,1,5,0.8,130.3,196874.0,189705.0,7169.0,0.0,0.0,0.0,32.4,32.4,32.4,13.0,10.4,5.2,0.0,6032.0,ast_scope,3,1,1,1,5,0.0,160.9,459263.0,438563.0,20699.0,0.016,0.0,0.0,86.0,86.0,85.8,45.4,16.0,11.0,12.8,5227.0,-0.8,-30.6,-262389.0,-248858.0,-13530.0,-0.016,-0.0,-0.0,-53.6,-53.6,-53.4,-32.4,-5.6,-5.8,-12.8,805.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,rw_e_cascade,1,1,1,5,0.8,130.3,196874.0,189705.0,7169.0,0.0,0.0,0.0,32.4,32.4,32.4,13.0,10.4,5.2,0.0,6032.0,file_lock,3,1,1,1,5,0.6,477.9,379415.0,369443.0,9972.0,0.005,61.6,0.0,96.2,96.2,96.0,65.6,9.8,9.8,61.6,3904.0,-0.2,-347.6,-182541.0,-179738.0,-2803.0,-0.005,-61.6,-0.0,-63.8,-63.8,-63.6,-52.6,0.6,-4.6,-61.6,2128.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,rw_e_cascade,1,1,1,5,0.8,130.3,196874.0,189705.0,7169.0,0.0,0.0,0.0,32.4,32.4,32.4,13.0,10.4,5.2,0.0,6032.0,git_hash,3,1,1,1,5,0.0,141.6,345894.0,329406.0,16488.0,0.0,0.0,0.0,75.6,75.6,74.8,38.6,12.8,12.4,0.2,4458.0,-0.8,-11.3,-149020.0,-139701.0,-9319.0,-0.0,-0.0,-0.0,-43.2,-43.2,-42.4,-25.6,-2.4,-7.2,-0.2,1574.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,rw_e_cascade,1,1,1,5,0.8,130.3,196874.0,189705.0,7169.0,0.0,0.0,0.0,32.4,32.4,32.4,13.0,10.4,5.2,0.0,6032.0,naive,3,1,1,1,5,0.0,209.0,442463.0,422293.0,20171.0,0.004,0.0,0.0,84.4,84.4,84.4,44.0,15.2,11.6,0.0,5194.0,-0.8,-78.7,-245589.0,-232588.0,-13002.0,-0.004,-0.0,-0.0,-52.0,-52.0,-52.0,-31.0,-4.8,-6.4,-0.0,838.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,rw_e_cascade,1,1,1,5,0.8,130.3,196874.0,189705.0,7169.0,0.0,0.0,0.0,32.4,32.4,32.4,13.0,10.4,5.2,0.0,6032.0,notify,3,1,1,1,5,0.2,121.1,384949.0,370440.0,14509.0,0.01,0.0,0.0,78.8,78.8,78.2,44.4,14.4,8.2,13.4,4874.0,-0.6,9.2,-188075.0,-180735.0,-7340.0,-0.01,-0.0,-0.0,-46.4,-46.4,-45.8,-31.4,-4.0,-3.0,-13.4,1158.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t02_benign_overlap,1,1,1,5,1.0,21.2,8419.0,7153.0,1266.0,0.0,0.0,0.0,6.6,6.6,6.6,2.2,1.4,0.0,0.0,1282.0,ast_dep,2,1,1,1,5,1.0,17.0,14029.0,12129.0,1900.0,0.018,0.0,0.0,11.8,11.8,11.8,3.2,2.2,0.6,1.6,1178.0,0.0,4.2,-5610.0,-4976.0,-634.0,-0.018,-0.0,-0.0,-5.2,-5.2,-5.2,-1.0,-0.8,-0.6,-1.6,104.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t02_benign_overlap,1,1,1,5,1.0,21.2,8419.0,7153.0,1266.0,0.0,0.0,0.0,6.6,6.6,6.6,2.2,1.4,0.0,0.0,1282.0,ast_scope,2,1,1,1,5,1.0,17.3,13671.0,12053.0,1618.0,0.019,0.0,0.0,11.8,11.8,11.8,3.4,2.2,0.8,1.4,1153.0,0.0,3.9,-5252.0,-4900.0,-352.0,-0.019,-0.0,-0.0,-5.2,-5.2,-5.2,-1.2,-0.8,-0.8,-1.4,129.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t02_benign_overlap,1,1,1,5,1.0,21.2,8419.0,7153.0,1266.0,0.0,0.0,0.0,6.6,6.6,6.6,2.2,1.4,0.0,0.0,1282.0,file_lock,2,1,1,1,5,1.0,26.3,13076.0,11387.0,1689.0,0.0,1.0,1.0,11.4,11.4,11.4,3.2,2.0,0.6,1.0,1148.0,0.0,-5.1,-4657.0,-4234.0,-423.0,-0.0,-1.0,-1.0,-4.8,-4.8,-4.8,-1.0,-0.6,-0.6,-1.0,134.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t02_benign_overlap,1,1,1,5,1.0,21.2,8419.0,7153.0,1266.0,0.0,0.0,0.0,6.6,6.6,6.6,2.2,1.4,0.0,0.0,1282.0,git_hash,2,1,1,1,5,1.0,16.5,13340.0,11606.0,1734.0,0.0,0.0,0.0,11.6,11.6,11.6,3.0,2.0,1.0,1.0,1150.0,0.0,4.7,-4921.0,-4453.0,-468.0,-0.0,-0.0,-0.0,-5.0,-5.0,-5.0,-0.8,-0.6,-1.0,-1.0,132.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t02_benign_overlap,1,1,1,5,1.0,21.2,8419.0,7153.0,1266.0,0.0,0.0,0.0,6.6,6.6,6.6,2.2,1.4,0.0,0.0,1282.0,naive,2,1,1,1,5,1.0,21.7,17353.0,15256.0,2096.0,0.055,0.0,0.0,13.6,13.6,13.6,3.8,2.6,2.0,0.0,1266.0,0.0,-0.5,-8934.0,-8103.0,-830.0,-0.055,-0.0,-0.0,-7.0,-7.0,-7.0,-1.6,-1.2,-2.0,-0.0,16.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t02_benign_overlap,1,1,1,5,1.0,21.2,8419.0,7153.0,1266.0,0.0,0.0,0.0,6.6,6.6,6.6,2.2,1.4,0.0,0.0,1282.0,notify,2,1,1,1,5,1.0,21.0,18280.0,16025.0,2255.0,0.02,0.0,0.0,14.0,14.0,14.0,5.0,2.2,0.8,1.6,1306.0,0.0,0.2,-9861.0,-8872.0,-989.0,-0.02,-0.0,-0.0,-7.4,-7.4,-7.4,-2.8,-0.8,-0.8,-1.6,-24.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t04_cascade,1,1,1,5,1.0,64.1,71118.0,67989.0,3129.0,0.0,0.0,0.0,29.2,29.2,29.2,15.8,7.8,2.6,0.0,2422.0,ast_dep,4,1,1,1,5,0.6,109.5,156450.0,146961.0,9489.0,0.066,4.2,0.0,82.6,82.6,82.4,49.6,13.0,5.8,18.4,1877.0,-0.4,-45.4,-85332.0,-78972.0,-6360.0,-0.066,-4.2,-0.0,-53.4,-53.4,-53.2,-33.8,-5.2,-3.2,-18.4,545.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t04_cascade,1,1,1,5,1.0,64.1,71118.0,67989.0,3129.0,0.0,0.0,0.0,29.2,29.2,29.2,15.8,7.8,2.6,0.0,2422.0,ast_scope,4,1,1,1,5,0.6,68.6,207996.0,197215.0,10780.0,0.045,1.6,0.0,98.8,98.8,98.6,57.0,15.6,8.4,23.0,2053.0,-0.4,-4.5,-136878.0,-129226.0,-7651.0,-0.045,-1.6,-0.0,-69.6,-69.6,-69.4,-41.2,-7.8,-5.8,-23.0,369.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t04_cascade,1,1,1,5,1.0,64.1,71118.0,67989.0,3129.0,0.0,0.0,0.0,29.2,29.2,29.2,15.8,7.8,2.6,0.0,2422.0,file_lock,4,1,1,1,5,0.6,561.7,190090.0,184330.0,5760.0,0.0,85.0,0.0,107.0,107.0,106.6,76.0,6.2,8.6,85.0,1769.0,-0.4,-497.6,-118972.0,-116341.0,-2631.0,-0.0,-85.0,-0.0,-77.8,-77.8,-77.4,-60.2,1.6,-6.0,-85.0,653.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t04_cascade,1,1,1,5,1.0,64.1,71118.0,67989.0,3129.0,0.0,0.0,0.0,29.2,29.2,29.2,15.8,7.8,2.6,0.0,2422.0,git_hash,4,1,1,1,5,0.6,80.1,208294.0,193919.0,14375.0,0.023,1.6,0.0,97.2,97.2,97.2,57.2,15.6,7.2,2.2,2061.0,-0.4,-16.0,-137176.0,-125930.0,-11246.0,-0.023,-1.6,-0.0,-68.0,-68.0,-68.0,-41.4,-7.8,-4.6,-2.2,361.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t04_cascade,1,1,1,5,1.0,64.1,71118.0,67989.0,3129.0,0.0,0.0,0.0,29.2,29.2,29.2,15.8,7.8,2.6,0.0,2422.0,naive,4,1,1,1,5,0.8,66.9,158724.0,148645.0,10079.0,0.016,0.0,0.0,85.0,85.0,84.6,50.4,11.4,8.0,0.0,1841.0,-0.2,-2.8,-87606.0,-80656.0,-6950.0,-0.016,-0.0,-0.0,-55.8,-55.8,-55.4,-34.6,-3.6,-5.4,-0.0,581.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t04_cascade,1,1,1,5,1.0,64.1,71118.0,67989.0,3129.0,0.0,0.0,0.0,29.2,29.2,29.2,15.8,7.8,2.6,0.0,2422.0,notify,4,1,1,1,5,0.6,64.9,155749.0,145212.0,10537.0,0.019,0.0,0.0,82.8,82.8,82.6,54.4,9.4,5.0,15.6,1881.0,-0.4,-0.8,-84631.0,-77223.0,-7408.0,-0.019,-0.0,-0.0,-53.6,-53.6,-53.4,-38.6,-1.6,-2.4,-15.6,541.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t05_cross_file,1,1,1,5,1.0,36.5,25324.0,23572.0,1752.0,0.0,0.0,0.0,16.6,16.6,16.6,9.2,4.0,0.4,0.0,1518.0,ast_dep,2,1,1,1,5,1.0,377.5,100005.0,90307.0,9697.0,0.027,2.2,0.0,43.2,43.2,43.0,19.0,9.2,5.8,4.8,2069.0,0.0,-341.0,-74681.0,-66735.0,-7945.0,-0.027,-2.2,-0.0,-26.6,-26.6,-26.4,-9.8,-5.2,-5.4,-4.8,-551.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t05_cross_file,1,1,1,5,1.0,36.5,25324.0,23572.0,1752.0,0.0,0.0,0.0,16.6,16.6,16.6,9.2,4.0,0.4,0.0,1518.0,ast_scope,2,1,1,1,5,1.0,79.6,87687.0,77861.0,9826.0,0.067,1.0,0.0,43.2,43.2,43.2,21.2,8.4,4.2,6.8,2005.0,0.0,-43.1,-62363.0,-54289.0,-8074.0,-0.067,-1.0,-0.0,-26.6,-26.6,-26.6,-12.0,-4.4,-3.8,-6.8,-487.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t05_cross_file,1,1,1,5,1.0,36.5,25324.0,23572.0,1752.0,0.0,0.0,0.0,16.6,16.6,16.6,9.2,4.0,0.4,0.0,1518.0,file_lock,2,1,1,1,5,0.8,363.3,63882.0,61391.0,2490.0,0.0,31.8,0.0,43.2,43.0,42.8,28.0,3.2,3.2,31.8,1404.0,-0.2,-326.8,-38558.0,-37819.0,-738.0,-0.0,-31.8,-0.0,-26.6,-26.4,-26.2,-18.8,0.8,-2.8,-31.8,114.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t05_cross_file,1,1,1,5,1.0,36.5,25324.0,23572.0,1752.0,0.0,0.0,0.0,16.6,16.6,16.6,9.2,4.0,0.4,0.0,1518.0,git_hash,2,1,1,1,5,1.0,199.0,64057.0,57665.0,6392.0,0.008,0.2,0.0,36.4,36.4,36.4,16.6,6.4,6.2,0.2,1744.0,0.0,-162.5,-38733.0,-34093.0,-4640.0,-0.008,-0.2,-0.0,-19.8,-19.8,-19.8,-7.4,-2.4,-5.8,-0.2,-226.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t05_cross_file,1,1,1,5,1.0,36.5,25324.0,23572.0,1752.0,0.0,0.0,0.0,16.6,16.6,16.6,9.2,4.0,0.4,0.0,1518.0,naive,2,1,1,1,5,1.0,94.7,79192.0,71007.0,8185.0,0.005,0.0,0.0,41.8,41.8,41.6,19.2,6.6,7.0,0.0,1882.0,0.0,-58.2,-53868.0,-47435.0,-6433.0,-0.005,-0.0,-0.0,-25.2,-25.2,-25.0,-10.0,-2.6,-6.6,-0.0,-364.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t05_cross_file,1,1,1,5,1.0,36.5,25324.0,23572.0,1752.0,0.0,0.0,0.0,16.6,16.6,16.6,9.2,4.0,0.4,0.0,1518.0,notify,2,1,1,1,5,0.8,47.0,46030.0,41965.0,4065.0,0.0,0.0,0.0,31.0,31.0,31.2,16.2,5.0,4.0,2.6,1469.0,-0.2,-10.5,-20706.0,-18393.0,-2313.0,-0.0,-0.0,-0.0,-14.4,-14.4,-14.6,-7.0,-1.0,-3.6,-2.6,49.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t06_feature_pair,1,1,1,5,1.0,65.2,32730.0,28664.0,4066.0,0.0,0.0,0.0,16.0,16.0,15.2,8.6,3.0,0.6,0.0,2044.0,ast_dep,2,1,1,1,5,1.0,81.4,78770.0,70644.0,8126.0,0.032,0.0,0.0,35.2,35.2,35.2,21.0,4.8,3.6,2.8,2208.0,0.0,-16.2,-46040.0,-41980.0,-4060.0,-0.032,-0.0,-0.0,-19.2,-19.2,-20.0,-12.4,-1.8,-3.0,-2.8,-164.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t06_feature_pair,1,1,1,5,1.0,65.2,32730.0,28664.0,4066.0,0.0,0.0,0.0,16.0,16.0,15.2,8.6,3.0,0.6,0.0,2044.0,ast_scope,2,1,1,1,5,1.0,67.6,73805.0,66478.0,7327.0,0.024,0.0,0.0,33.6,33.6,32.8,19.0,4.6,2.6,3.0,2177.0,0.0,-2.4,-41075.0,-37814.0,-3261.0,-0.024,-0.0,-0.0,-17.6,-17.6,-17.6,-10.4,-1.6,-2.0,-3.0,-133.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t06_feature_pair,1,1,1,5,1.0,65.2,32730.0,28664.0,4066.0,0.0,0.0,0.0,16.0,16.0,15.2,8.6,3.0,0.6,0.0,2044.0,file_lock,2,1,1,1,5,1.0,122.1,80743.0,73041.0,7702.0,0.0,3.6,0.0,37.2,37.2,36.6,22.0,4.0,3.6,3.6,2152.0,0.0,-56.9,-48013.0,-44377.0,-3636.0,-0.0,-3.6,-0.0,-21.2,-21.2,-21.4,-13.4,-1.0,-3.0,-3.6,-108.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t06_feature_pair,1,1,1,5,1.0,65.2,32730.0,28664.0,4066.0,0.0,0.0,0.0,16.0,16.0,15.2,8.6,3.0,0.6,0.0,2044.0,git_hash,2,1,1,1,5,1.0,81.4,88830.0,81158.0,7673.0,0.047,0.8,0.0,36.6,36.6,36.0,21.0,5.4,3.2,0.8,2407.0,0.0,-16.2,-56100.0,-52494.0,-3607.0,-0.047,-0.8,-0.0,-20.6,-20.6,-20.8,-12.4,-2.4,-2.6,-0.8,-363.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t06_feature_pair,1,1,1,5,1.0,65.2,32730.0,28664.0,4066.0,0.0,0.0,0.0,16.0,16.0,15.2,8.6,3.0,0.6,0.0,2044.0,naive,2,1,1,1,5,1.0,83.1,87112.0,78769.0,8343.0,0.039,0.0,0.0,37.4,37.4,37.0,21.6,5.2,3.8,0.0,2328.0,0.0,-17.9,-54382.0,-50105.0,-4277.0,-0.039,-0.0,-0.0,-21.4,-21.4,-21.8,-13.0,-2.2,-3.2,-0.0,-284.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t06_feature_pair,1,1,1,5,1.0,65.2,32730.0,28664.0,4066.0,0.0,0.0,0.0,16.0,16.0,15.2,8.6,3.0,0.6,0.0,2044.0,notify,2,1,1,1,5,1.0,75.5,66017.0,58005.0,8012.0,0.041,0.0,0.0,32.4,32.4,31.4,18.8,4.8,1.6,3.0,2034.0,0.0,-10.3,-33287.0,-29341.0,-3946.0,-0.041,-0.0,-0.0,-16.4,-16.4,-16.2,-10.2,-1.8,-1.0,-3.0,10.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t07_rw_canary,1,1,1,5,1.0,33.2,20153.0,18312.0,1840.0,0.0,0.0,0.0,14.6,14.6,14.6,8.4,2.4,0.8,0.0,1368.0,ast_dep,2,1,1,1,5,1.0,69.1,30077.0,25611.0,4466.0,0.0,0.0,0.0,22.6,22.6,21.8,9.0,3.4,3.2,1.2,1287.0,0.0,-35.9,-9924.0,-7299.0,-2626.0,-0.0,-0.0,-0.0,-8.0,-8.0,-7.2,-0.6,-1.0,-2.4,-1.2,81.0
grid-v1-calibration,grid-v1,grid-v1 vs grid-v1-calibration,t07_rw_canary,1,1,1,5,1.0,33.2,20153.0,18312.0,1840.0,0.0,0.0,0.0,14.6,14.6,14.6,8.4,2.4,0.8,0.0,1368.0,ast_scope,2,1,1,1,5,1.0,137.6,48693.0,39654.0,9039.0,0.0,0.0,0.0,29.0,29.0,28.6,12.0,4.0,6.6,0.0,1653.0,0.0,-104.4,-28540.0,-21342.0,-7199.0,-0.0,-0.0,-0.0,-14.4,-14.4,-14.0,-3.6,-1.6,-5.8,-0.0,-285.0
