run_id,provider,model,task,strategy,n_agents,n_tasks,n_strategies,n_cells,trials,correct_rate,mean_wall_s,mean_tokens,mean_prompt_tokens,mean_completion_tokens,mean_estimated_usd,wasted_rate,stalls_per_trial,fp_stalls_per_trial,mean_agent_turns,mean_llm_calls,mean_tool_calls,mean_file_reads,mean_write_attempts,mean_search_events,mean_coord_events,mean_tokens_per_agent_turn
grid-v1,openai,gpt-5-mini,rw_e_cascade,notify,3,1,1,1,5,0.2,121.1,384949.0,370440.0,14509.0,0.1216,0.01,0.0,0.0,78.8,78.8,78.2,44.4,14.4,8.2,13.4,4874.0
grid-v1,openai,gpt-5-mini,t01_stale_clobber,ast_dep,2,1,1,1,5,0.0,14.9,10197.0,8766.0,1431.0,0.0051,0.0,0.6,0.0,8.0,8.0,8.0,2.0,2.0,0.0,1.6,1275.0
grid-v1,openai,gpt-5-mini,t01_stale_clobber,ast_scope,2,1,1,1,5,0.0,14.8,10362.0,8776.0,1586.0,0.0054,0.0,0.6,0.0,8.0,8.0,8.0,2.0,2.0,0.0,1.6,1295.0
grid-v1,openai,gpt-5-mini,t01_stale_clobber,file_lock,2,1,1,1,5,1.0,24.8,10664.0,9048.0,1616.0,0.0055,0.0,1.0,0.0,8.0,8.0,8.0,2.0,2.0,0.0,1.0,1333.0
grid-v1,openai,gpt-5-mini,t01_stale_clobber,git_hash,2,1,1,1,5,1.0,32.5,22737.0,19727.0,3011.0,0.011,0.176,2.0,0.0,11.0,11.0,11.0,3.0,4.0,0.0,2.0,2031.0
grid-v1,openai,gpt-5-mini,t01_stale_clobber,naive,2,1,1,1,5,0.0,13.8,10716.0,9186.0,1530.0,0.0054,0.0,0.0,0.0,8.4,8.4,8.4,2.0,2.0,0.4,0.0,1277.0
grid-v1,openai,gpt-5-mini,t01_stale_clobber,notify,2,1,1,1,5,0.4,24.8,18950.0,16385.0,2565.0,0.0092,0.0,0.0,0.0,11.2,11.2,11.2,3.8,2.8,0.0,2.2,1610.0
grid-v1,openai,gpt-5-mini,t02_benign_overlap,ast_dep,2,1,1,1,5,1.0,17.0,14029.0,12129.0,1900.0,0.0068,0.018,0.0,0.0,11.8,11.8,11.8,3.2,2.2,0.6,1.6,1178.0
grid-v1,openai,gpt-5-mini,t02_benign_overlap,ast_scope,2,1,1,1,5,1.0,17.3,13671.0,12053.0,1618.0,0.0062,0.019,0.0,0.0,11.8,11.8,11.8,3.4,2.2,0.8,1.4,1153.0
grid-v1,openai,gpt-5-mini,t02_benign_overlap,file_lock,2,1,1,1,5,1.0,26.3,13076.0,11387.0,1689.0,0.0062,0.0,1.0,1.0,11.4,11.4,11.4,3.2,2.0,0.6,1.0,1148.0
grid-v1,openai,gpt-5-mini,t02_benign_overlap,git_hash,2,1,1,1,5,1.0,16.5,13340.0,11606.0,1734.0,0.0064,0.0,0.0,0.0,11.6,11.6,11.6,3.0,2.0,1.0,1.0,1150.0
grid-v1,openai,gpt-5-mini,t02_benign_overlap,naive,2,1,1,1,5,1.0,21.7,17353.0,15256.0,2096.0,0.008,0.055,0.0,0.0,13.6,13.6,13.6,3.8,2.6,2.0,0.0,1266.0
grid-v1,openai,gpt-5-mini,t02_benign_overlap,notify,2,1,1,1,5,1.0,21.0,18280.0,16025.0,2255.0,0.0085,0.02,0.0,0.0,14.0,14.0,14.0,5.0,2.2,0.8,1.6,1306.0
grid-v1,openai,gpt-5-mini,t03_fetch_clobber,ast_dep,2,1,1,1,5,0.0,18.2,11515.0,9937.0,1578.0,0.0056,0.0,0.8,0.0,10.6,10.6,10.6,3.0,2.0,0.8,1.8,1087.0
grid-v1,openai,gpt-5-mini,t03_fetch_clobber,ast_scope,2,1,1,1,5,0.0,19.0,11874.0,10241.0,1633.0,0.0058,0.0,0.2,0.0,11.0,11.0,11.0,3.0,2.0,1.2,1.2,1080.0
grid-v1,openai,gpt-5-mini,t03_fetch_clobber,file_lock,2,1,1,1,5,1.0,28.6,12462.0,10741.0,1721.0,0.0061,0.0,1.0,0.0,10.8,10.8,10.8,3.0,2.0,0.8,1.0,1154.0
grid-v1,openai,gpt-5-mini,t03_fetch_clobber,git_hash,2,1,1,1,5,1.0,44.4,23217.0,19445.0,3771.0,0.0124,0.175,2.0,0.0,13.8,13.8,13.8,4.0,4.0,0.8,2.0,1684.0
grid-v1,openai,gpt-5-mini,t03_fetch_clobber,naive,2,1,1,1,5,0.0,18.7,12126.0,10381.0,1745.0,0.0061,0.0,0.0,0.0,11.0,11.0,11.0,3.4,2.0,0.4,0.0,1102.0
grid-v1,openai,gpt-5-mini,t03_fetch_clobber,notify,2,1,1,1,5,0.0,31.5,18864.0,16626.0,2237.0,0.0086,0.0,0.0,0.0,14.8,14.8,14.8,5.2,2.4,1.0,1.2,1246.0
grid-v1,openai,gpt-5-mini,t04_cascade,ast_dep,4,1,1,1,5,0.6,109.5,156450.0,146961.0,9489.0,0.0557,0.066,4.2,0.0,82.6,82.6,82.4,49.6,13.0,5.8,18.4,1877.0
grid-v1,openai,gpt-5-mini,t04_cascade,ast_scope,4,1,1,1,5,0.6,68.6,207996.0,197215.0,10780.0,0.0709,0.045,1.6,0.0,98.8,98.8,98.6,57.0,15.6,8.4,23.0,2053.0
grid-v1,openai,gpt-5-mini,t04_cascade,file_lock,4,1,1,1,5,0.6,561.7,190090.0,184330.0,5760.0,0.0576,0.0,85.0,0.0,107.0,107.0,106.6,76.0,6.2,8.6,85.0,1769.0
grid-v1,openai,gpt-5-mini,t04_cascade,git_hash,4,1,1,1,5,0.6,80.1,208294.0,193919.0,14375.0,0.0772,0.023,1.6,0.0,97.2,97.2,97.2,57.2,15.6,7.2,2.2,2061.0
grid-v1,openai,gpt-5-mini,t04_cascade,naive,4,1,1,1,5,0.8,66.9,158724.0,148645.0,10079.0,0.0573,0.016,0.0,0.0,85.0,85.0,84.6,50.4,11.4,8.0,0.0,1841.0
grid-v1,openai,gpt-5-mini,t04_cascade,notify,4,1,1,1,5,0.6,64.9,155749.0,145212.0,10537.0,0.0574,0.019,0.0,0.0,82.8,82.8,82.6,54.4,9.4,5.0,15.6,1881.0
grid-v1,openai,gpt-5-mini,t07_rw_canary,ast_dep,2,1,1,1,5,1.0,69.1,30077.0,25611.0,4466.0,0.0153,0.0,0.0,0.0,22.6,22.6,21.8,9.0,3.4,3.2,1.2,1287.0
grid-v1,openai,gpt-5-mini,t07_rw_canary,ast_scope,2,1,1,1,5,1.0,137.6,48693.0,39654.0,9039.0,0.028,0.0,0.0,0.0,29.0,29.0,28.6,12.0,4.0,6.6,0.0,1653.0
grid-v1,openai,gpt-5-mini,t07_rw_canary,file_lock,2,1,1,1,5,1.0,162.5,51208.0,45729.0,5479.0,0.0224,0.0,13.4,0.0,34.2,34.2,33.8,17.4,3.4,6.0,13.4,1428.0
grid-v1,openai,gpt-5-mini,t07_rw_canary,git_hash,2,1,1,1,5,1.0,80.1,46634.0,40695.0,5940.0,0.0221,0.0,0.0,0.0,29.4,29.4,28.8,13.0,3.6,6.6,0.0,1521.0
grid-v1,openai,gpt-5-mini,t07_rw_canary,naive,2,1,1,1,5,0.8,69.8,32643.0,26529.0,6115.0,0.0189,0.0,0.0,0.0,23.8,23.8,23.4,10.0,3.2,5.0,0.0,1364.0
grid-v1,openai,gpt-5-mini,t07_rw_canary,notify,2,1,1,1,5,1.0,118.1,44807.0,37584.0,7223.0,0.0238,0.0,0.0,0.0,27.8,27.8,27.6,11.2,3.2,6.4,0.0,1565.0
grid-v1,openai,gpt-5-mini,t11_irreversible,ast_dep,2,1,1,1,5,0.4,54.5,29158.0,23470.0,5688.0,0.0172,0.0,0.0,0.0,21.0,21.0,21.0,8.2,2.2,1.0,1.0,1383.0
grid-v1,openai,gpt-5-mini,t11_irreversible,ast_scope,2,1,1,1,5,0.4,47.8,29884.0,24998.0,4886.0,0.016,0.0,0.0,0.0,21.8,21.8,21.8,8.2,2.2,1.2,1.0,1361.0
grid-v1,openai,gpt-5-mini,t11_irreversible,file_lock,2,1,1,1,5,1.0,59.2,35900.0,31532.0,4369.0,0.0166,0.0,1.0,0.0,25.4,25.4,25.4,10.6,2.2,1.6,1.0,1389.0
grid-v1,openai,gpt-5-mini,t11_irreversible,git_hash,2,1,1,1,5,0.6,77.4,38968.0,30637.0,8331.0,0.0243,0.0,0.0,0.0,24.8,24.8,24.8,10.8,2.0,1.4,0.0,1548.0
grid-v1,openai,gpt-5-mini,t11_irreversible,naive,2,1,1,1,5,0.6,53.7,30159.0,24231.0,5928.0,0.0179,0.0,0.0,0.0,21.2,21.2,21.2,8.0,2.2,0.6,0.0,1414.0
grid-v1,openai,gpt-5-mini,t11_irreversible,notify,2,1,1,1,5,0.8,47.2,31606.0,26491.0,5115.0,0.0169,0.0,0.0,0.0,22.6,22.6,22.6,9.2,2.2,0.6,1.0,1390.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,rw_d_tag_antidependency,ast_dep,2,1,1,1,3,0.667,174.7,42220.0,40791.0,1429.0,0.0014,0.0,0.0,0.0,13.67,13.67,18.0,8.67,3.33,1.0,0.67,3090.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,rw_d_tag_antidependency,ast_scope,2,1,1,1,3,0.0,185.0,50966.0,49580.0,1386.0,0.0017,0.0,0.0,0.0,16.33,16.33,20.67,9.0,3.0,3.0,1.0,3107.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,rw_d_tag_antidependency,file_lock,2,1,1,1,3,1.0,270.8,67872.0,66204.0,1668.0,0.0022,0.0,2.667,0.0,19.0,19.0,24.0,11.67,3.0,4.0,2.67,3543.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,rw_d_tag_antidependency,git_hash,2,1,1,1,3,0.0,204.5,56017.0,54415.0,1602.0,0.0019,0.0,0.0,0.0,17.0,17.0,21.67,9.67,3.33,3.67,0.0,3246.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,rw_d_tag_antidependency,naive,2,1,1,1,3,0.0,193.2,63891.0,62353.0,1538.0,0.0021,0.0,0.0,0.0,19.67,19.67,23.0,10.0,3.0,5.0,0.0,3233.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,rw_d_tag_antidependency,notify,2,1,1,1,3,1.0,379.7,73938.0,72184.0,1753.0,0.0024,0.0,0.0,0.0,20.67,20.67,24.67,10.67,4.0,4.67,1.33,3580.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,rw_e_cascade,ast_dep,3,1,1,1,3,0.667,424.5,249023.0,242466.0,6557.0,0.0083,0.019,0.0,0.0,41.33,41.33,71.67,44.33,11.33,4.67,16.0,5977.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,rw_e_cascade,ast_scope,3,1,1,1,3,0.0,444.6,258449.0,252146.0,6303.0,0.0085,0.0,0.0,0.0,47.0,47.0,77.0,41.0,12.0,13.0,9.33,5496.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,rw_e_cascade,file_lock,3,1,1,1,3,0.667,795.0,249019.0,242395.0,6624.0,0.0083,0.0,39.0,0.0,51.0,50.33,89.0,54.67,12.0,12.33,39.0,4872.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,rw_e_cascade,git_hash,3,1,1,1,3,0.0,524.8,259349.0,252787.0,6562.0,0.0086,0.0,0.0,0.0,44.67,44.67,73.33,41.0,13.67,8.33,0.67,5768.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,rw_e_cascade,naive,3,1,1,1,3,0.333,484.1,283749.0,276551.0,7199.0,0.0094,0.02,0.0,0.0,48.0,48.0,75.67,43.33,14.0,8.0,0.0,5863.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,rw_e_cascade,notify,3,1,1,1,3,1.0,421.8,321734.0,314731.0,7003.0,0.0105,0.024,0.0,0.0,50.67,50.67,79.0,47.33,14.0,6.33,12.67,6272.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t01_stale_clobber,ast_dep,2,1,1,1,3,0.333,109.6,21141.0,19969.0,1172.0,0.0008,0.0,1.0,0.0,10.33,10.33,10.33,3.67,2.0,0.33,1.67,2048.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t01_stale_clobber,ast_scope,2,1,1,1,3,0.333,61.4,20925.0,19680.0,1244.0,0.0008,0.027,1.0,0.0,10.0,10.0,10.0,3.33,2.33,0.33,1.67,2078.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t01_stale_clobber,file_lock,2,1,1,1,3,1.0,90.9,20492.0,19239.0,1254.0,0.0008,0.0,1.0,0.0,10.33,10.33,11.0,3.33,2.0,1.33,1.0,1987.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t01_stale_clobber,git_hash,2,1,1,1,3,1.0,86.9,31006.0,29230.0,1776.0,0.0011,0.094,1.333,0.0,12.33,12.33,12.33,4.0,3.33,0.67,1.33,2497.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t01_stale_clobber,naive,2,1,1,1,3,0.667,76.6,20177.0,19034.0,1143.0,0.0007,0.0,0.0,0.0,10.33,10.33,10.67,3.0,2.0,1.67,0.0,1951.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t01_stale_clobber,notify,2,1,1,1,3,0.667,130.2,23697.0,22359.0,1338.0,0.0009,0.0,0.0,0.0,11.33,11.33,11.33,3.33,2.33,1.0,1.67,2079.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t02_benign_overlap,ast_dep,2,1,1,1,3,1.0,40.8,15695.0,15017.0,678.0,0.0006,0.0,0.0,0.0,9.0,9.0,9.0,3.0,2.0,0.0,1.67,1744.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t02_benign_overlap,ast_scope,2,1,1,1,3,1.0,51.5,18036.0,17360.0,676.0,0.0006,0.0,0.0,0.0,10.0,10.0,10.0,4.0,2.0,0.0,1.33,1804.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t02_benign_overlap,file_lock,2,1,1,1,3,1.0,92.4,16229.0,15728.0,501.0,0.0005,0.0,1.667,1.667,9.67,9.67,9.67,3.0,2.0,0.33,1.67,1675.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t02_benign_overlap,git_hash,2,1,1,1,3,1.0,88.0,47153.0,45608.0,1545.0,0.0016,0.098,2.0,2.0,16.33,16.33,17.0,6.33,6.33,0.33,2.67,2389.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t02_benign_overlap,naive,2,1,1,1,3,1.0,68.3,15827.0,15134.0,693.0,0.0006,0.0,0.0,0.0,9.0,9.0,9.0,3.0,2.0,0.0,0.0,1759.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t02_benign_overlap,notify,2,1,1,1,3,1.0,52.8,16615.0,15821.0,795.0,0.0006,0.0,0.0,0.0,9.0,9.0,9.67,3.67,2.0,0.0,1.67,1840.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t03_fetch_clobber,ast_dep,2,1,1,1,3,0.333,89.6,15957.0,15097.0,860.0,0.0006,0.0,1.0,0.0,9.0,9.0,9.0,3.0,2.0,0.0,1.67,1773.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t03_fetch_clobber,ast_scope,2,1,1,1,3,0.333,64.0,17390.0,16412.0,977.0,0.0006,0.028,1.333,0.0,9.33,9.33,10.0,3.67,2.33,0.0,2.33,1850.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t03_fetch_clobber,file_lock,2,1,1,1,3,1.0,60.0,15614.0,14707.0,907.0,0.0006,0.0,1.0,0.0,8.67,8.67,9.0,3.0,2.0,0.0,1.0,1801.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t03_fetch_clobber,git_hash,2,1,1,1,3,1.0,98.0,23394.0,22106.0,1288.0,0.0009,0.108,1.333,0.0,11.33,11.33,11.67,4.33,3.33,0.0,1.33,2061.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t03_fetch_clobber,naive,2,1,1,1,3,0.667,64.8,15509.0,14641.0,868.0,0.0006,0.0,0.0,0.0,8.67,8.67,9.0,3.0,2.0,0.0,0.0,1787.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t03_fetch_clobber,notify,2,1,1,1,3,0.333,107.7,23984.0,22698.0,1286.0,0.0009,0.0,0.0,0.0,12.0,12.0,12.0,4.0,3.33,0.0,2.33,1995.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t04_cascade,ast_dep,4,1,1,1,3,0.0,333.0,100417.0,96225.0,4192.0,0.0035,0.055,2.0,0.0,40.0,40.0,69.0,43.33,10.0,2.33,11.33,2493.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t04_cascade,ast_scope,4,1,1,1,3,0.667,289.3,115967.0,111414.0,4552.0,0.004,0.008,0.333,0.0,44.0,44.0,74.0,45.33,9.33,5.0,12.0,2584.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t04_cascade,file_lock,4,1,1,1,3,0.667,768.4,216654.0,211245.0,5408.0,0.0071,0.032,63.667,0.0,75.33,74.67,113.0,64.67,9.33,18.67,63.67,2809.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t04_cascade,git_hash,4,1,1,1,3,1.0,387.7,130643.0,125551.0,5092.0,0.0045,0.0,0.0,0.0,46.67,46.67,79.0,50.67,10.33,4.0,0.33,2774.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t04_cascade,naive,4,1,1,1,3,0.667,338.2,107190.0,102758.0,4432.0,0.0037,0.0,0.0,0.0,41.0,41.0,67.67,39.67,8.67,5.67,0.0,2606.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t04_cascade,notify,4,1,1,1,3,1.0,332.8,124702.0,120845.0,3857.0,0.0042,0.0,0.0,0.0,46.67,46.67,74.67,50.33,8.33,2.67,10.33,2666.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t07_rw_canary,ast_dep,2,1,1,1,3,1.0,176.1,26210.0,24939.0,1271.0,0.0009,0.056,0.0,0.0,13.67,13.67,20.67,9.0,4.0,2.67,1.33,1883.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t07_rw_canary,ast_scope,2,1,1,1,3,0.667,108.5,29428.0,28168.0,1260.0,0.001,0.041,0.0,0.0,15.33,15.33,20.33,9.67,4.0,1.67,0.33,1901.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t07_rw_canary,file_lock,2,1,1,1,3,1.0,160.8,26983.0,25857.0,1126.0,0.0009,0.041,2.333,0.0,14.33,14.33,19.67,9.67,3.0,2.33,2.33,1859.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t07_rw_canary,git_hash,2,1,1,1,3,1.0,154.3,22329.0,21095.0,1234.0,0.0008,0.0,0.0,0.0,12.0,12.0,19.0,9.0,3.0,2.0,0.0,1838.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t07_rw_canary,naive,2,1,1,1,3,1.0,108.9,23704.0,22623.0,1081.0,0.0008,0.041,0.0,0.0,12.67,12.67,16.67,7.33,3.67,1.0,0.0,1833.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t07_rw_canary,notify,2,1,1,1,3,1.0,123.3,21151.0,20070.0,1081.0,0.0008,0.0,0.0,0.0,12.0,12.0,17.33,6.67,2.33,3.67,0.0,1761.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t11_irreversible,ast_dep,2,1,1,1,3,0.333,250.9,66543.0,64419.0,2125.0,0.0023,0.0,0.0,0.0,23.67,23.67,27.33,10.0,4.33,1.0,0.67,2802.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t11_irreversible,ast_scope,2,1,1,1,3,1.0,190.8,47426.0,45686.0,1740.0,0.0016,0.02,0.0,0.0,18.33,18.33,22.33,8.67,3.67,0.33,0.67,2518.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t11_irreversible,file_lock,2,1,1,1,3,0.667,261.6,55824.0,54316.0,1507.0,0.0019,0.021,4.0,0.0,23.67,23.67,27.67,10.0,3.33,2.0,4.0,2333.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t11_irreversible,git_hash,2,1,1,1,3,0.667,254.8,47462.0,45824.0,1638.0,0.0016,0.0,0.0,0.0,18.67,18.67,22.0,8.0,3.33,0.0,0.0,2476.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t11_irreversible,naive,2,1,1,1,3,1.0,152.7,39082.0,37634.0,1448.0,0.0013,0.019,0.0,0.0,17.0,17.0,19.67,6.0,3.67,0.0,0.0,2298.0
grid-v1-agnes-sensitivity,agnes,agnes-2.0-flash,t11_irreversible,notify,2,1,1,1,3,1.0,195.2,37149.0,35988.0,1161.0,0.0013,0.0,0.0,0.0,16.33,16.33,19.67,7.33,2.67,0.0,0.67,2254.0
