task,strategy,n_agents,trials,mean_agent_turns,mean_llm_calls,mean_tool_calls,mean_file_reads,mean_write_attempts,mean_write_applied,mean_write_refused,mean_search_events,mean_coord_events,mean_test_runs,mean_notifications_delivered,mean_tokens_per_agent_turn
t01_stale_clobber,git_hash,2,5,11.0,11.0,11.0,3.0,4.0,2.0,2.0,0.0,2.0,2.0,0.0,2031.16
t01_stale_clobber,naive,2,5,8.4,8.4,8.4,2.0,2.0,2.0,0.0,0.4,0.0,2.0,0.0,1277.29
t01_stale_clobber,notify,2,5,11.2,11.2,11.2,3.8,2.8,2.8,0.0,0.0,2.2,2.6,1.6,1609.78
t02_benign_overlap,ast_dep,2,5,11.8,11.8,11.8,3.2,2.2,2.0,0.2,0.6,1.6,2.0,0.0,1177.95
t02_benign_overlap,ast_scope,2,5,11.8,11.8,11.8,3.4,2.2,2.0,0.2,0.8,1.4,2.0,0.0,1152.8
t02_benign_overlap,file_lock,2,5,11.4,11.4,11.4,3.2,2.0,2.0,0.0,0.6,1.0,2.0,0.0,1147.77
t02_benign_overlap,git_hash,2,5,11.6,11.6,11.6,3.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,1150.33
t02_benign_overlap,naive,2,5,13.6,13.6,13.6,3.8,2.6,2.0,0.6,2.0,0.0,2.0,0.0,1266.31
t02_benign_overlap,notify,2,5,14.0,14.0,14.0,5.0,2.2,2.0,0.2,0.8,1.6,2.4,1.6,1305.52
t03_fetch_clobber,ast_dep,2,5,10.6,10.6,10.6,3.0,2.0,2.0,0.0,0.8,1.8,2.0,0.0,1086.85
t03_fetch_clobber,ast_scope,2,5,11.0,11.0,11.0,3.0,2.0,2.0,0.0,1.2,1.2,2.0,0.0,1079.57
t03_fetch_clobber,file_lock,2,5,10.8,10.8,10.8,3.0,2.0,2.0,0.0,0.8,1.0,2.0,0.0,1153.57
t03_fetch_clobber,git_hash,2,5,13.8,13.8,13.8,4.0,4.0,2.0,2.0,0.8,2.0,2.0,0.0,1683.51
t03_fetch_clobber,naive,2,5,11.0,11.0,11.0,3.4,2.0,2.0,0.0,0.4,0.0,2.0,0.0,1102.45
t03_fetch_clobber,notify,2,5,14.8,14.8,14.8,5.2,2.4,2.4,0.0,1.0,1.2,2.4,0.8,1246.03
t04_cascade,ast_dep,4,5,82.6,82.6,82.4,49.6,13.0,9.2,3.8,5.8,18.4,6.2,0.0,1876.85
t04_cascade,ast_scope,4,5,98.8,98.8,98.6,57.0,15.6,12.2,3.4,8.4,23.0,8.8,0.0,2053.31
t04_cascade,file_lock,4,5,107.0,107.0,106.6,76.0,6.2,6.2,0.0,8.6,85.0,4.2,0.0,1768.89
t04_cascade,git_hash,4,5,97.2,97.2,97.2,57.2,15.6,14.0,1.6,7.2,2.2,8.8,0.0,2061.27
t04_cascade,naive,4,5,85.0,85.0,84.6,50.4,11.4,10.4,1.0,8.0,0.0,7.2,0.0,1841.37
t04_cascade,notify,4,5,82.8,82.8,82.6,54.4,9.4,8.8,0.6,5.0,15.6,5.8,14.6,1880.98
t05_cross_file,ast_dep,2,5,43.2,43.2,43.0,19.0,9.2,7.4,1.8,5.8,4.8,5.0,0.0,2068.65
t05_cross_file,ast_scope,2,5,43.2,43.2,43.2,21.2,8.4,6.6,1.8,4.2,6.8,5.4,0.0,2004.57
t05_cross_file,file_lock,2,5,43.2,43.0,42.8,28.0,3.2,3.2,0.0,3.2,31.8,1.6,0.0,1403.61
t05_cross_file,git_hash,2,5,36.4,36.4,36.4,16.6,6.4,6.2,0.2,6.2,0.2,3.8,0.0,1744.07
t05_cross_file,naive,2,5,41.8,41.8,41.6,19.2,6.6,6.4,0.2,7.0,0.0,4.6,0.0,1882.34
t05_cross_file,notify,2,5,31.0,31.0,31.2,16.2,5.0,5.0,0.0,4.0,2.6,2.4,2.4,1469.48
t06_feature_pair,ast_dep,2,5,35.2,35.2,35.2,21.0,4.8,4.0,0.8,3.6,2.8,2.2,0.0,2208.48
t06_feature_pair,ast_scope,2,5,33.6,33.6,32.8,19.0,4.6,4.0,0.6,2.6,3.0,2.6,0.0,2177.22
t06_feature_pair,file_lock,2,5,37.2,37.2,36.6,22.0,4.0,4.0,0.0,3.6,3.6,2.4,0.0,2152.22
t06_feature_pair,git_hash,2,5,36.6,36.6,36.0,21.0,5.4,4.2,1.2,3.2,0.8,2.2,0.0,2407.35
t06_feature_pair,naive,2,5,37.4,37.4,37.0,21.6,5.2,4.2,1.0,3.8,0.0,2.4,0.0,2328.04
t06_feature_pair,notify,2,5,32.4,32.4,31.4,18.8,4.8,4.0,0.8,1.6,3.0,2.2,3.0,2034.22
t07_rw_canary,ast_dep,2,5,22.6,22.6,21.8,9.0,3.4,3.4,0.0,3.2,1.2,2.8,0.0,1286.59
t07_rw_canary,ast_scope,2,5,29.0,29.0,28.6,12.0,4.0,4.0,0.0,6.6,0.0,3.0,0.0,1652.93
t07_rw_canary,file_lock,2,5,34.2,34.2,33.8,17.4,3.4,3.4,0.0,6.0,13.4,2.8,0.0,1427.97
t07_rw_canary,git_hash,2,5,29.4,29.4,28.8,13.0,3.6,3.6,0.0,6.6,0.0,2.8,0.0,1520.81
t07_rw_canary,naive,2,5,23.8,23.8,23.4,10.0,3.2,3.2,0.0,5.0,0.0,2.4,0.0,1363.87
t07_rw_canary,notify,2,5,27.8,27.8,27.6,11.2,3.2,3.2,0.0,6.4,0.0,3.4,0.0,1564.65
t08_livelock,ast_dep,2,5,51.4,51.0,50.8,18.8,17.6,4.8,12.8,6.2,14.6,4.8,0.0,1330.6
t08_livelock,ast_scope,2,5,53.0,52.4,52.4,21.6,17.2,3.6,13.6,6.6,15.6,3.8,0.0,1349.34
t08_livelock,file_lock,2,5,49.4,49.2,49.2,21.6,10.2,3.6,6.6,9.0,36.2,2.6,0.0,1242.91
t08_livelock,git_hash,2,5,20.4,20.4,20.4,8.0,5.2,4.0,1.2,1.6,1.0,2.0,0.0,913.88
t08_livelock,naive,2,5,18.6,18.6,18.6,8.2,4.0,4.0,0.0,0.6,0.0,2.0,0.0,867.35
t08_livelock,notify,2,5,19.4,19.4,19.4,8.8,4.0,4.0,0.0,0.4,3.8,2.4,3.8,923.18
t09_overhead,ast_dep,2,5,20.2,20.2,20.2,10.0,4.0,4.0,0.0,0.4,1.6,2.0,0.0,915.7
t09_overhead,ast_scope,2,5,19.6,19.6,19.6,9.6,4.0,4.0,0.0,0.4,1.2,2.0,0.0,910.93
t09_overhead,file_lock,2,5,20.8,20.8,20.8,10.8,4.0,4.0,0.0,0.8,4.6,2.0,0.0,934.2
t09_overhead,git_hash,2,5,18.6,18.6,18.6,8.6,4.0,4.0,0.0,0.4,0.0,2.0,0.0,905.75
t09_overhead,naive,2,5,19.6,19.6,19.6,9.4,4.0,4.0,0.0,0.8,0.0,2.2,0.0,912.22
t09_overhead,notify,2,5,17.8,17.8,17.8,7.8,4.0,4.0,0.0,0.2,0.4,2.0,0.4,896.42
t10_phantom_tool,ast_dep,2,5,26.4,26.4,26.4,13.8,3.0,3.0,0.0,1.0,1.2,2.0,0.0,1365.75
t10_phantom_tool,ast_scope,2,5,27.2,27.2,27.2,14.2,3.0,3.0,0.0,1.0,1.4,2.2,0.0,1367.68
t10_phantom_tool,file_lock,2,5,28.4,28.4,28.4,14.2,3.0,3.0,0.0,2.0,6.4,2.0,0.0,1495.31
t10_phantom_tool,git_hash,2,5,25.4,25.4,25.4,12.2,3.0,3.0,0.0,1.2,0.0,2.2,0.0,1385.68
t10_phantom_tool,naive,2,5,29.8,29.8,29.8,15.0,3.2,3.2,0.0,1.8,0.0,2.0,0.0,1451.22
t10_phantom_tool,notify,2,5,29.6,29.6,29.6,16.6,3.0,3.0,0.0,1.4,1.2,2.0,1.0,1475.1
t11_irreversible,ast_dep,2,5,21.0,21.0,21.0,8.2,2.2,2.2,0.0,1.0,1.0,2.2,0.0,1382.68
t11_irreversible,ast_scope,2,5,21.8,21.8,21.8,8.2,2.2,2.2,0.0,1.2,1.0,2.2,0.0,1361.18
t11_irreversible,file_lock,2,5,25.4,25.4,25.4,10.6,2.2,2.2,0.0,1.6,1.0,2.0,0.0,1388.78
t11_irreversible,git_hash,2,5,24.8,24.8,24.8,10.8,2.0,2.0,0.0,1.4,0.0,2.0,0.0,1547.58
t11_irreversible,naive,2,5,21.2,21.2,21.2,8.0,2.2,2.2,0.0,0.6,0.0,2.4,0.0,1413.56
t11_irreversible,notify,2,5,22.6,22.6,22.6,9.2,2.2,2.2,0.0,0.6,1.0,2.0,1.0,1390.48
t12_split_view,ast_dep,2,5,26.0,26.0,26.0,3.4,5.0,4.8,0.2,9.4,1.0,2.8,0.0,1043.78
t12_split_view,ast_scope,2,5,28.8,28.8,28.6,3.6,5.8,5.6,0.2,11.2,1.0,3.0,0.0,1090.66
t12_split_view,file_lock,2,5,28.8,28.8,28.8,3.2,5.0,5.0,0.0,11.6,0.6,3.4,0.0,1126.01
t12_split_view,git_hash,2,5,25.2,25.2,25.2,3.0,5.2,5.2,0.0,9.2,0.0,3.4,0.0,1103.58
t12_split_view,naive,2,5,28.4,28.4,28.4,3.8,5.4,5.4,0.0,10.4,0.0,3.8,0.0,1137.68
t12_split_view,notify,2,5,32.2,32.2,32.2,5.8,6.2,6.2,0.0,10.2,0.0,4.6,0.0,1289.83
