task,strategy,n_agents,trials,correct_rate,correct_rate_lo,correct_rate_hi,mean_wall_s,mean_wall_s_lo,mean_wall_s_hi,mean_tokens,mean_tokens_lo,mean_tokens_hi,wasted_rate,wasted_rate_lo,wasted_rate_hi,fp_stalls_per_trial,fp_stalls_per_trial_lo,fp_stalls_per_trial_hi
t04_cascade,ast_dep,4,3,0.0,0.0,0.0,333.0,256.3,447.8,100417.0,83629.0,123799.0,0.055,0.0,0.131,0.0,0.0,0.0
t04_cascade,ast_scope,4,3,0.667,0.0,1.0,289.3,194.7,342.5,115967.0,90329.0,167242.0,0.008,0.0,0.024,0.0,0.0,0.0
t04_cascade,file_lock,4,3,0.667,0.0,1.0,768.4,695.2,900.0,216654.0,163625.0,321831.0,0.032,0.0,0.096,0.0,0.0,0.0
t04_cascade,git_hash,4,3,1.0,1.0,1.0,387.7,285.3,492.2,130643.0,96729.0,151826.0,0.0,0.0,0.0,0.0,0.0,0.0
t04_cascade,naive,4,3,0.667,0.333,1.0,338.2,223.8,426.4,107190.0,94266.0,127106.0,0.0,0.0,0.0,0.0,0.0,0.0
t04_cascade,notify,4,3,1.0,1.0,1.0,332.8,278.5,423.2,124702.0,104916.0,141587.0,0.0,0.0,0.0,0.0,0.0,0.0
t07_rw_canary,ast_dep,2,3,1.0,1.0,1.0,176.1,76.8,368.5,26210.0,18808.0,39184.0,0.056,0.0,0.167,0.0,0.0,0.0
t07_rw_canary,ast_scope,2,3,0.667,0.0,1.0,108.5,81.5,137.5,29428.0,19350.0,35263.0,0.041,0.0,0.124,0.0,0.0,0.0
t07_rw_canary,file_lock,2,3,1.0,1.0,1.0,160.8,110.6,210.4,26983.0,18908.0,32446.0,0.041,0.0,0.122,0.0,0.0,0.0
t07_rw_canary,git_hash,2,3,1.0,1.0,1.0,154.3,65.4,291.2,22329.0,17279.0,30218.0,0.0,0.0,0.0,0.0,0.0,0.0
t07_rw_canary,naive,2,3,1.0,1.0,1.0,108.9,79.8,139.4,23704.0,17576.0,32899.0,0.041,0.0,0.124,0.0,0.0,0.0
t07_rw_canary,notify,2,3,1.0,1.0,1.0,123.3,109.1,140.6,21151.0,18977.0,23052.0,0.0,0.0,0.0,0.0,0.0,0.0
t11_irreversible,ast_dep,2,3,0.333,0.0,1.0,250.9,217.2,317.6,66543.0,55697.0,76028.0,0.0,0.0,0.0,0.0,0.0,0.0
t11_irreversible,ast_scope,2,3,1.0,1.0,1.0,190.8,94.3,325.8,47426.0,29126.0,67314.0,0.02,0.0,0.06,0.0,0.0,0.0
t11_irreversible,file_lock,2,3,0.667,0.0,1.0,261.6,130.9,356.8,55824.0,36567.0,70146.0,0.021,0.0,0.062,0.0,0.0,0.0
t11_irreversible,git_hash,2,3,0.667,0.0,1.0,254.8,84.0,404.1,47462.0,35021.0,70550.0,0.0,0.0,0.0,0.0,0.0,0.0
t11_irreversible,naive,2,3,1.0,1.0,1.0,152.7,110.7,209.0,39082.0,33975.0,43411.0,0.019,0.0,0.056,0.0,0.0,0.0
t11_irreversible,notify,2,3,1.0,1.0,1.0,195.2,145.5,251.0,37149.0,31904.0,47585.0,0.0,0.0,0.0,0.0,0.0,0.0
