run_id,provider,run_dir,log,task,failure_mode,benign,strategy,mode,adapter,n_agents,rep,model,agent,status,turns,llm_calls,tool_calls,file_reads,write_attempts,write_applied,write_refused,search_events,run_tests,notifications_delivered,prompt_tokens,completion_tokens,total_tokens
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,t02_benign_overlap__peer_broker-n2-r0.jsonl,t02_benign_overlap,benign_overlap_false_positive,True,peer_broker,strategy,,2,0,gpt-5-mini,agent-truncate,done,6,6,6,2,1,1,0,0,1,0,6065,927,6992
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,t02_benign_overlap__peer_contract-n2-r0.jsonl,t02_benign_overlap,benign_overlap_false_positive,True,peer_contract,strategy,,2,0,gpt-5-mini,agent-slugify,done,5,5,5,1,1,1,0,0,1,1,6378,874,7252
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,t02_benign_overlap__peer_contract-n2-r0.jsonl,t02_benign_overlap,benign_overlap_false_positive,True,peer_contract,strategy,,2,0,gpt-5-mini,agent-truncate,done,6,6,6,1,1,1,0,1,1,1,8375,1565,9940
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,t03_fetch_clobber__peer_broker-n2-r0.jsonl,t03_fetch_clobber,write_write_clobber,False,peer_broker,strategy,,2,0,gpt-5-mini,agent-timeout,done,7,8,7,2,2,2,0,0,1,1,9211,2637,11848
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,t03_fetch_clobber__peer_broker-n2-r0.jsonl,t03_fetch_clobber,write_write_clobber,False,peer_broker,strategy,,2,0,gpt-5-mini,agent-retries,done,8,9,8,2,2,2,0,2,1,1,11450,2875,14325
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,t03_fetch_clobber__peer_contract-n2-r0.jsonl,t03_fetch_clobber,write_write_clobber,False,peer_contract,strategy,,2,0,gpt-5-mini,agent-timeout,done,5,5,5,1,1,1,0,0,1,1,6312,784,7096
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,t03_fetch_clobber__peer_contract-n2-r0.jsonl,t03_fetch_clobber,write_write_clobber,False,peer_contract,strategy,,2,0,gpt-5-mini,agent-retries,done,6,6,6,1,1,1,0,0,1,2,8785,1688,10473
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,t04_cascade__peer_broker-n4-r0.jsonl,t04_cascade,causal_cascade,False,peer_broker,strategy,,4,0,gpt-5-mini,agent-datasource,done,20,22,19,10,3,3,0,3,1,1,40580,8090,48670
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,t04_cascade__peer_broker-n4-r0.jsonl,t04_cascade,causal_cascade,False,peer_broker,strategy,,4,0,gpt-5-mini,agent-pipeline,done,22,24,22,14,4,3,1,0,2,1,44520,7251,51771
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,t04_cascade__peer_broker-n4-r0.jsonl,t04_cascade,causal_cascade,False,peer_broker,strategy,,4,0,gpt-5-mini,agent-report,done,32,34,32,19,6,4,2,3,2,1,84963,6468,91431
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,t04_cascade__peer_broker-n4-r0.jsonl,t04_cascade,causal_cascade,False,peer_broker,strategy,,4,0,gpt-5-mini,agent-cli,done,17,19,17,12,1,1,0,1,1,0,24122,1371,25493
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,t04_cascade__peer_contract-n4-r0.jsonl,t04_cascade,causal_cascade,False,peer_contract,strategy,,4,0,gpt-5-mini,agent-datasource,done,26,26,26,7,8,2,6,2,2,4,68744,3644,72388
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,t04_cascade__peer_contract-n4-r0.jsonl,t04_cascade,causal_cascade,False,peer_contract,strategy,,4,0,gpt-5-mini,agent-pipeline,done,32,32,32,14,7,3,4,0,4,7,111964,7547,119511
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,t04_cascade__peer_contract-n4-r0.jsonl,t04_cascade,causal_cascade,False,peer_contract,strategy,,4,0,gpt-5-mini,agent-report,done,40,40,40,17,8,2,6,1,1,8,137467,8101,145568
grid-v1-peer-targeted-v5,openai,results/grid-v1-peer-targeted-v5,t04_cascade__peer_contract-n4-r0.jsonl,t04_cascade,causal_cascade,False,peer_contract,strategy,,4,0,gpt-5-mini,agent-cli,max_turns,40,40,40,21,6,1,5,1,2,11,142349,7675,150024
